exponent,min_runtime_old,min_runtime_new
1794,0.00059406000218587,0.00019305000023450702
1795,0.0005863799960934557,9.726999996928498e-05
1796,0.0006085200002416968,0.00015473999519599602
1797,0.0007601300021633506,9.946000500349328e-05
1798,0.000607750000199303,0.00013593999756267294
1799,0.0022682099952362478,9.967999358195812e-05
1800,0.000625638997007627,9.514100383967161e-05
1801,0.0013094599999021739,0.0001249900014954619
1802,0.0006279599983827211,0.0002427099971100688
1803,0.0006331300028250553,0.00010644999565556645
1804,0.0033877899986691773,0.0001237600008607842
1805,0.0010437000019010156,0.00011068000458180904
1806,0.0007897600007709116,0.000129489999380894
1807,0.0007156490028137341,0.00014890900638420135
1808,0.0007021700002951548,0.0003979699977207929
1809,0.001466130001062993,0.0001336700006504543
1810,0.0008233999978983775,0.00012340999819571152
1811,0.000841369001136627,0.0001316210036748089
1812,0.0005063399948994629,0.00011678999726427719
1813,0.0008393800017074682,0.011405169003410265
1814,0.00946751899755327,0.00010735999967437238
1815,0.007319409000047017,0.0001128490039263852
1816,0.0048781389996293,0.00011049999739043415
1817,0.0010642499983077869,0.0001199000034830533
1818,0.0008450589957647026,0.00012078900181222707
1819,0.0010799599986057729,0.00017762999777914956
1820,0.000811179997981526,0.00011339999764459208
1821,0.0007948299971758388,0.00011608000204432756
1822,0.0007646099984413013,0.00012004999734926969
1823,0.0008176099945558235,0.00011522999557200819
1824,0.0008158700002240948,0.00011077999806730077
1825,0.0008001099995453842,0.00011826899572042748
1826,0.0028393500033416785,0.00012043999595334753
1827,0.0009387000027345493,0.00011328000255161896
1828,0.0007906099999672733,0.00016879999748198316
1829,0.0018942399983643554,0.00011808000272139907
1830,0.001575059002789203,0.00014584000018658116
1831,0.0026618999982019886,0.00011915999493794516
1832,0.0012832389984396286,0.00011180000001331791
1833,0.0007251700008055195,0.00012666000111494213
1834,0.0008691000039107166,0.00013969000428915024
1835,0.0006596300008823164,0.00010214000212727115
1836,0.0006453599999076687,0.00012798999523511156
1837,0.0006400900019798428,0.00010117099736817181
1838,0.0006522699986817315,0.00013654999929713085
1839,0.0007546909982920624,0.00012699000217253342
1840,0.0007591000030515715,0.00010233100329060107
1841,0.0014816600014455616,0.0001042200019583106
1842,0.0006141300036688335,0.00010145999840460718
1843,0.000618120000581257,0.00010233099601464346
1844,0.0028436600041459315,0.00010230000043520704
1845,0.0006023500027367845,0.00010244899749523029
1846,0.000606339999649208,0.00010862000635825098
1847,0.0012718899961328134,0.0001048500053002499
1848,0.0006369499969878234,0.00013139999646227807
1849,0.0007602900004712865,0.0009127299999818206
1850,0.0006016190018272027,0.00010350000229664147
1851,0.0015458100024261512,0.00015797899686731398
1852,0.0006399190024239942,0.0006254409963730723
1853,0.0006314899947028607,0.00010522000229684636
1854,0.0007054599991533905,0.00012945000344188884
1855,0.000634019001154229,0.00014088000170886517
1856,0.0006387600005837157,0.00010502000077394769
1857,0.005585639999480918,0.00010946999827865511
1858,0.0006500599993159994,0.00012861000141128898
1859,0.0007098889982444234,0.00010483000369276851
1860,0.0006734900016454048,0.00010484999802429229
1861,0.0006484190016635694,0.00012962899927515537
1862,0.0006753599955118261,0.00010602999827824533
1863,0.0006694199983030558,0.00012980100291315466
1864,0.0006297299987636507,0.00010443000064697117
1865,0.0006938099977560341,0.00010594999912427738
1866,0.0006428199994843453,0.00011248000373598188
1867,0.0006298189982771873,0.0001302800010307692
1868,0.0006632000004174188,0.00010607999865897
1869,0.0006492800021078438,0.00010593000479275361
1870,0.0007092800005921163,0.0001077799970516935
1871,0.0006542899936903268,0.00014890999591443688
1872,0.0007518399943364784,0.00011504000576678663
1873,0.0006582999994861893,0.00021819000539835542
1874,0.0011470000026747584,0.00022770000214222819
1875,0.00059635000070557,0.00010725999891292304
1876,0.0006860899957246147,0.00010115999612025917
1877,0.0009488189971307293,0.00013626000145450234
1878,0.0008953899960033596,0.00010682999709388241
1879,0.0006240889997570775,0.00010913000005530193
1880,0.0006381299972417764,0.00011023000115528703
1881,0.0004563999973470345,8.951999916462228e-05
1882,0.0008888800002750941,0.00014209999790182337
1883,0.0008420800004387274,0.00010630999895511195
1884,0.0006571199992322363,0.00013218000094639137
1885,0.0005188400027691387,0.00010610100434860215
1886,0.0020809600027860142,0.0001085499970940873
1887,0.0006935999990673736,0.00010642000415828079
1888,0.0006502700052806176,0.00010793899855343625
1889,0.0007091599982231855,0.0001084100003936328
1890,0.0006163700018078089,0.00011027999426005408
1891,0.0007051499997032806,0.00011008000001311302
1892,0.0009281399979954585,0.00017577999824425206
1893,0.002184760000091046,0.00010848999954760075
1894,0.000703309997334145,0.00011067000014008954
1895,0.0006416300020646304,0.00010762899910332635
1896,0.0006494299959740601,0.00010953899618471041
1897,0.0012791299959644675,0.00010622000263538212
1898,0.0006522000039694831,0.00010605999705148861
1899,0.0007434799990733154,0.0004783300028066151
1900,0.0007070100036798976,0.0001180199978989549
1901,0.07070625499909511,0.00014234999980544671
1902,0.0006786599988117814,0.00011302000348223373
1903,0.0007277600016095676,0.00011098000686615705
1904,0.0007100200018612668,0.00010847000521607697
